id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
42903000,524000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2610,51.1794996,4.4222168,1970.0,175.0,,4,4,HYPER_EQUIPPED,0,1,1,30.0,0,0.0,0,0,MISSING,209.0,C,GAS,1,2032.0
61320000,620000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8670,51.1164314,2.6375873,2024.0,134.0,,2,2,MISSING,0,0,1,53.0,0,0.0,0,1,GOOD,,MISSING,MISSING,0,
37612000,210000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7060,50.6147325,4.055171,,81.0,,2,2,INSTALLED,0,0,1,8.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,
10111000,198000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7600,50.5021648,3.5884888,2023.0,85.0,,2,2,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,1,AS_NEW,91.0,B,GAS,1,
50088000,506850.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8000,51.2008728,3.2158292,,124.0,,2,3,INSTALLED,0,0,1,39.0,0,0.0,0,0,MISSING,0.0,MISSING,MISSING,1,
37128000,335000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5100,50.4453303,4.8749873,2024.0,119.0,,2,2,HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
20120000,200000.0,APARTMENT,APARTMENT,Wallonia,Liège,Waremme,4300,50.6929042,5.251232,1976.0,105.0,,2,3,MISSING,0,0,1,,0,0.0,0,1,TO_BE_DONE_UP,191.0,C,MISSING,0,1085.0
67108000,215000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1081,50.8651807,4.310036,1973.0,84.0,,2,2,SEMI_EQUIPPED,0,0,1,8.0,0,0.0,0,0,TO_BE_DONE_UP,185.0,D,GAS,1,1500.0
54851000,159000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7603,,,,67.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,ELECTRIC,1,
37310000,220000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2800,51.0284559,4.4699448,1990.0,57.0,,2,1,USA_INSTALLED,0,1,1,,0,0.0,0,0,GOOD,324.0,D,GAS,1,1080.0
